"","Density","median","Experiment","centred_time"
"259","0.1",0.00386435022573323,"Mar1",-6.24126840807487
"260","0.1",0.0031823021848374,"Mar1",-5.74126840807487
"261","0.1",0.00389833341304002,"Mar1",-5.24126840807487
"262","0.1",0.00469419648753845,"Mar1",-4.74126840807487
"263","0.1",0.00500682898916643,"Mar1",-4.24126840807487
"264","0.1",0.00578449936539078,"Mar1",-3.74126840807487
"265","0.1",0.00786477815112275,"Mar1",-3.24126840807487
"266","0.1",0.0106778543569968,"Mar1",-2.74126840807487
"267","0.1",0.0132778405678071,"Mar1",-2.24126840807487
"268","0.1",0.0100861907617516,"Mar1",-1.74126840807487
"269","0.1",0.00699761316707159,"Mar1",-1.24126840807487
"270","0.1",0.00757689026230478,"Mar1",-0.741268408074873
"271","0.1",0.00654166479151956,"Mar1",-0.241268408074873
"272","0.1",0.00499747738130144,"Mar1",0.258731591925127
"273","0.1",0.00354241692671416,"Mar1",0.758731591925127
"274","0.1",0.00255651421200767,"Mar1",1.25873159192513
"275","0.1",0.00220330266685279,"Mar1",1.75873159192513
"276","0.1",0.00224739421970145,"Mar1",2.25873159192513
"277","0.1",0.00244997726113703,"Mar1",2.75873159192513
"278","0.1",0.00271912098481308,"Mar1",3.25873159192513
"279","0.1",0.00308641991315373,"Mar1",3.75873159192513
"280","0.1",0.003232757618259,"Mar1",4.25873159192513
"281","0.1",0.0031804272454644,"Mar1",4.75873159192513
"282","0.1",0.00401258211669008,"Mar1",5.25873159192513
"283","0.1",0.00452518570047061,"Mar1",5.75873159192513
"284","0.1",0.00459094102960835,"Mar1",6.25873159192513
"285","0.1",0.00522325330030426,"Mar1",6.75873159192513
"286","0.1",0.00674061522853261,"Mar1",7.25873159192513
"287","0.1",0.00991784561453227,"Mar1",7.75873159192513
"288","1",0.00359472754448183,"Mar3",-4.17345278128733
"289","1",0.00555981293669824,"Mar3",-3.67345278128733
"290","1",0.00520245346255354,"Mar3",-3.17345278128733
"291","1",0.00258062473615096,"Mar3",-2.67345278128733
"292","1",0.0020776479585893,"Mar3",-2.17345278128733
"293","1",0.00177215926807538,"Mar3",-1.67345278128733
"294","1",0.00264330417299724,"Mar3",-1.17345278128733
"295","1",0.00694750853108874,"Mar3",-0.673452781287327
"296","1",0.0117859116578873,"Mar3",-0.173452781287327
"297","1",0.00380574728275748,"Mar3",0.326547218712673
"298","1",0.00654414604550933,"Mar3",0.826547218712673
"299","1",0.00347727635068653,"Mar3",1.32654721871267
"300","1",0.0035935758343003,"Mar3",1.82654721871267
"301","1",0.00182020480814903,"Mar3",2.32654721871267
"302","1",0.00146486719705588,"Mar3",2.82654721871267
"303","1",0.00149319590584105,"Mar3",3.32654721871267
"304","1",0.00167127140890891,"Mar3",3.82654721871267
"305","1",0.00185409606433516,"Mar3",4.32654721871267
"306","1",0.00242656820784389,"Mar3",4.82654721871267
"307","1",0.00278792224505571,"Mar3",5.32654721871267
"308","1",0.00178259767009802,"Mar3",5.82654721871267
"309","1",0,"Mar3",6.32654721871267
"310","1",0,"Mar3",6.82654721871267
"311","1",0,"Mar3",7.32654721871267
"312","1",0,"Mar3",7.82654721871267
"313","1",0,"Mar3",8.32654721871267
"314","1",0,"Mar3",8.82654721871267
"315","1",0,"Mar3",9.32654721871267
"316","1",0,"Mar3",9.82654721871267
"317","1",0,"Mar3",10.3265472187127
"318","0.1",0.00437596135333811,"Mar7",-7.42088230626114
"319","0.1",0.00274938454675468,"Mar7",-6.92088230626114
"320","0.1",0.00347129980820918,"Mar7",-6.42088230626114
"321","0.1",0.00272701996547779,"Mar7",-5.92088230626114
"322","0.1",0.00272556098942858,"Mar7",-5.42088230626114
"323","0.1",0.00307635598049196,"Mar7",-4.92088230626114
"324","0.1",0.00325610490231178,"Mar7",-4.42088230626114
"325","0.1",0.00214112353936173,"Mar7",-3.92088230626114
"326","0.1",0.00301802211961981,"Mar7",-3.42088230626114
"327","0.1",0.00502338217577975,"Mar7",-2.92088230626114
"328","0.1",0.00356747193794662,"Mar7",-2.42088230626114
"329","0.1",0.00406657464265653,"Mar7",-1.92088230626114
"330","0.1",0.00615371005320219,"Mar7",-1.42088230626114
"331","0.1",0.0109108028491167,"Mar7",-0.920882306261141
"332","0.1",0.0269258496841846,"Mar7",-0.420882306261141
"333","0.1",0.008988879862932,"Mar7",0.0791176937388594
"334","0.1",0.00494016494590818,"Mar7",0.579117693738859
"335","0.1",0.0040382356640844,"Mar7",1.07911769373886
"336","0.1",0.00352777561920114,"Mar7",1.57911769373886
"337","0.1",0.00272064985384233,"Mar7",2.07911769373886
"338","0.1",0.00235884682363706,"Mar7",2.57911769373886
"339","0.1",0.0021922911002201,"Mar7",3.07911769373886
"340","0.1",0.0021756516526181,"Mar7",3.57911769373886
"341","0.1",0.00238209611218212,"Mar7",4.07911769373886
"342","0.1",0.00292402058157092,"Mar7",4.57911769373886
"343","0.1",0.00309395302617705,"Mar7",5.07911769373886
"344","0.1",0.00336606641221667,"Mar7",5.57911769373886
"345","0.1",0.00601567709634646,"Mar7",6.07911769373886
"346","0.1",0.0036631078456264,"Mar7",6.57911769373886
"347","0.1",0,"Mar7",7.07911769373886
"348","0.1",0,"Mar7",7.57911769373886
"349","0.1",0,"Mar7",8.07911769373886
"350","0.001",0.00541712345150852,"Mar9",-13.0857937637473
"351","0.001",0.0044941297091877,"Mar9",-12.5857937637473
"352","0.001",0.00347845249048937,"Mar9",-12.0857937637473
"353","0.001",0.0026828167021842,"Mar9",-11.5857937637473
"354","0.001",0.00335484626407331,"Mar9",-11.0857937637473
"355","0.001",0.00236272682026192,"Mar9",-10.5857937637473
"356","0.001",0.00455674681984799,"Mar9",-10.0857937637473
"357","0.001",0.00338149693872003,"Mar9",-9.58579376374727
"358","0.001",0.00215930186601767,"Mar9",-9.08579376374727
"359","0.001",0.00320332687349265,"Mar9",-8.58579376374727
"360","0.001",0.00383003283681981,"Mar9",-8.08579376374727
"361","0.001",0.00324041841720004,"Mar9",-7.58579376374727
"362","0.001",0.00362772247582417,"Mar9",-7.08579376374727
"363","0.001",0.00377672074583776,"Mar9",-6.58579376374727
"364","0.001",0.00450496178843621,"Mar9",-6.08579376374727
"365","0.001",0.00548296613762184,"Mar9",-5.58579376374727
"366","0.001",0.00460026274357314,"Mar9",-5.08579376374727
"367","0.001",0.0059443830236828,"Mar9",-4.58579376374727
"368","0.001",0.00768494266613414,"Mar9",-4.08579376374727
"369","0.001",0.00830389804122581,"Mar9",-3.58579376374727
"370","0.001",0.0100095331393696,"Mar9",-3.08579376374727
"371","0.001",0.0109277320901312,"Mar9",-2.58579376374727
"372","0.001",0.0119971163912162,"Mar9",-2.08579376374727
"373","0.001",0.0129137190602345,"Mar9",-1.58579376374727
"374","0.001",0.0140456421470114,"Mar9",-1.08579376374727
"375","0.001",0.0157063737892781,"Mar9",-0.585793763747267
"376","0.001",0.0138112339327505,"Mar9",-0.085793763747267
"377","0.001",0.00994624808762743,"Mar9",0.414206236252733
"378","0.001",0.00956657061531567,"Mar9",0.914206236252733
"379","0.001",0.00922616912352128,"Mar9",1.41420623625273
"380","0.001",0.00477498171250899,"Mar9",1.91420623625273
"381","0.001",0.00209211652191468,"Mar9",2.41420623625273
"382","0.001",0,"Mar9",2.91420623625273
"383","0.001",0,"Mar9",3.41420623625273
"384","0.001",0,"Mar9",3.91420623625273
